date;employee_title;employee_status;review_title;pros;cons
2021-09-29;Cashier;Current Employee, less than 1 year;Working at a gas station;"Not many but you do get flexible hours and at times more than 60 hours a week if you are able to
";"It's a frustrating job at times
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-27;Analyst;Former Employee, more than 8 years;Chevron review;"The benefits at chevron were excellent
";"Heavy workload and tight deadlines
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-28;Software Engineer;Current Employee;Overall decent company to work for;"Great 410k match and work life balance
";"Work might not be so exciting
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-12;Senior Reservoir Engineer;Current Employee;very friendly working enviroment;"Nice pa, friendly working environment
";"not discovered yet, it is pretty good for now
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-26;Drilling Engineer;Former Employee, more than 3 years;Good place to work;"Good Benefits The pay is within a respectable range
";"Can be very political and competitive among fellow employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-23;Data Engineer;Current Employee;After reorg, organization for IT Chapters has declined;"Hybrid work model, every other Friday off
";"Organization has not been great after company re-org
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-06;Project Manager;Former Employee;Great company;"Very professional team and great career growth
";"Too much politics difficult to be promoted
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-21;Network Engineer;Current Employee, less than 1 year;Alright;"The seem to care about the employees
";"Big oil is destroying the environment
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-05;Manager;Former Employee, more than 10 years;Great place to work;"Compensation is better than most industries.
";"The company is so big that it is easy to get lost.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-18;Manager;Former Employee, more than 10 years;Pros/Cons;;"Sep 18, 2021 - Manager in San Ramon, CA
Recommend
CEO Approval
Business Outlook
Pros
Great people, large company with many resources
Cons
Slow decision making involving too many people
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-09-17;Drill Site Manager;Former Employee;Review;"Pros: work/life balance flexibility Great pay Great career opportunities
";"Cons: Some department are known for having toxic cultures They preach diversity but do not walk the talk
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
